t_10Hz,t_video (secs),Temperature_0,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,dT/dt,CHF Proximity,frame_index_round,frame_index_floor,frame_index_ceil,frame_delta_round
0.0,0.0,94.797361,94.618013,94.792426,94.626241,98.841696,98.880516,0.0012358172756989916,-0.027901122059469517,0,0,0,
0.1,0.49505484625067436,94.797361,94.618013,94.792426,94.626241,98.841696,98.880516,0.01651499999999828,-0.027901122059469517,15,14,15,15.0
0.2,0.9901096925013487,94.797361,94.618013,94.792426,94.626241,98.8530509900332,98.8984929335548,0.01651499999999828,-0.027901122059469517,30,29,30,15.0
0.3,1.4851645387520231,94.7949274418604,94.6017506511627,94.7833895780731,94.6174087541528,98.854308,98.900483,0.01882353488370825,-0.027917910728729557,45,44,45,15.0
0.4,1.9802193850026975,94.79251,94.585596,94.774413,94.608635,98.8334208013245,98.8867715364238,-0.01626599999998746,-0.02793458821474858,59,59,60,14.0
0.5,2.4752742312533718,94.79251,94.585596,94.774413,94.608635,98.828134,98.883301,-0.016265999999987457,-0.02793458821474858,74,74,75,15.0
0.6,2.9703290775040463,94.7924784385382,94.5856245681063,94.7744675215946,94.6086020631229,98.8339512093023,98.8999503023255,-0.016234438538191398,-0.027934805951458804,89,89,90,15.0
0.7,3.465383923754721,94.78301,94.594195,94.790824,94.598721,98.836472,98.907165,-0.014399328903706987,-0.028000126964521938,104,103,104,15.0
0.8,3.9604387700053953,94.78301,94.594195,94.790824,94.598721,98.8528763687707,98.8985396976744,-0.021882000000005064,-0.028000126964521938,119,118,119,15.0
0.9,4.45549361625607,94.78301,94.594195,94.790824,94.598721,98.864057,98.892661,-0.021882000000005068,-0.028000126964521938,134,133,134,15.0
1.0,4.950548462506744,94.7985968172757,94.5960750531561,94.7858494086378,94.6047560564784,98.8561273289036,98.8893839900332,-0.037695521594699244,-0.02789259638376449,149,148,149,15.0
1.1,5.445603308757419,94.813876,94.597918,94.780973,94.610672,98.848038,98.886041,-0.08686699999999803,-0.02778718811710023,163,163,164,14.0
1.2,5.9406581550080935,94.813876,94.597918,94.780973,94.610672,98.8398689501661,98.8897264418604,-0.08686699999999802,-0.02778718811710023,178,178,179,15.0
1.3,6.435713001258768,94.8137509767441,94.5978230033222,94.7809818837209,94.6106453488372,98.8272,98.895442,-0.08674197674410779,-0.027788050629509033,193,193,194,15.0
1.4,6.9307678475094425,94.776244,94.569324,94.783647,94.60265,98.8303729536423,98.8967098410596,-0.056601798013304006,-0.02804680435199215,208,207,208,15.0
1.5,7.425822693760117,94.776244,94.569324,94.783647,94.60265,98.838089,98.899793,-0.06377600000000427,-0.02804680435199215,223,222,223,15.0
1.6,7.920877540010792,94.776244,94.569324,94.783647,94.60265,98.8358292624584,98.896063192691,-0.06377600000000427,-0.02804680435199215,238,237,238,15.0
1.7,8.415932386261465,94.7686106710963,94.5699991627907,94.7639672923588,94.5921059468438,98.826156,98.880097,-0.05602623255809645,-0.02809946528177725,252,252,253,14.0
1.8,8.91098723251214,94.761128,94.570661,94.744676,94.58177,98.8264366445182,98.8802010863787,-0.031136000000003612,-0.028151086851105383,267,267,268,15.0
1.9,9.406042078762814,94.761128,94.570661,94.744676,94.58177,98.829405,98.881302,-0.031136000000003605,-0.028151086851105383,282,282,283,15.0
2.0,9.901096925013489,94.760901295681,94.5705818571428,94.7446406046511,94.5817236611295,98.829405,98.881302,-0.030909295680999094,-0.028152650842435466,297,297,298,15.0
2.1,10.396151771264163,94.727009,94.55875,94.739349,94.574796,98.8345280033222,98.8686839401993,0.01560117940189798,-0.02838646754621277,312,311,312,15.0
2.2,10.891206617514838,94.727009,94.55875,94.739349,94.574796,98.834597,98.868514,0.027807000000009907,-0.02838646754621277,327,326,327,15.0
2.3,11.386261463765512,94.727009,94.55875,94.739349,94.574796,98.8327182093023,98.8864968372093,0.027807000000009907,-0.02838646754621277,342,341,342,15.0
2.4,11.881316310016187,94.7196422019867,94.5597191688741,94.7344828907284,94.575973897351,98.832471,98.888863,0.034859384105999425,-0.028437289728489062,356,356,357,14.0
2.5,12.376371156266861,94.712468,94.560663,94.729744,94.577121,98.849759372093,98.9000624152824,0.010696999999993295,-0.02848678322626069,371,371,372,15.0
2.6,12.871426002517536,94.712468,94.560663,94.729744,94.577121,98.854521,98.903147,0.010696999999993295,-0.02848678322626069,386,386,387,15.0
2.7,13.36648084876821,94.7125844385382,94.560590833887,94.7298631694352,94.5771445149501,98.8408949700996,98.8878523654485,0.010580561461793536,-0.028485979938237628,401,400,401,15.0
2.8,13.861535695018885,94.729992,94.549802,94.747679,94.58066,98.834514,98.88069,0.002874013289002164,-0.02836588837878391,416,415,416,15.0
2.9,14.35659054126956,94.729992,94.549802,94.747679,94.58066,98.8398190496688,98.8900200496688,0.012258000000002767,-0.02836588837878391,431,430,431,15.0
3.0,14.851645387520234,94.729992,94.549802,94.747679,94.58066,98.843669,98.896791,0.012258000000002767,-0.02836588837878391,446,445,446,15.0
3.1,15.346700233770909,94.7426101794019,94.5536397076412,94.7563242624584,94.5855432923587,98.8414018372093,98.8915916910299,-0.0002300132889985208,-0.028278837883792613,460,460,461,14.0
3.2,15.841755080021583,94.754816,94.557352,94.764687,94.590267,98.83893,98.885923,0.0004939999999891143,-0.028194632176217968,475,475,476,15.0
3.3,16.336809926272256,94.754816,94.557352,94.764687,94.590267,98.8409155714285,98.8882152857143,0.0004939999999891143,-0.028194632176217968,490,490,491,15.0
3.4,16.83186477252293,94.7545015860927,94.5573358675496,94.7645196953642,94.590197731788,98.844219,98.892029,0.0008084139072934701,-0.02819680125983861,505,504,505,15.0
3.5,17.326919618773605,94.723165,94.555728,94.747845,94.583294,98.8406706810631,98.8942275348837,0.03548030232551014,-0.02841298659401584,520,519,520,15.0
3.6,17.82197446502428,94.723165,94.555728,94.747845,94.583294,98.831351,98.900002,0.03866400000001137,-0.02841298659401584,535,534,535,15.0
3.7,18.317029311274954,94.723165,94.555728,94.747845,94.583294,98.829780116279,98.9004076345515,0.038664000000011356,-0.02841298659401584,550,549,550,15.0
3.8,18.81208415752563,94.732866013289,94.5528835215946,94.7437465315614,94.5806589435215,98.822258,98.90235,0.029053172141402683,-0.028346061090595127,564,564,565,14.0
3.9,19.307139003776303,94.74225,94.550132,94.739782,94.57811,98.8231345761589,98.9039111258278,0.02638799999999718,-0.02828132269512886,579,579,580,15.0
4.0,19.802193850026978,94.74225,94.550132,94.739782,94.57811,98.834291,98.92378,0.02638799999999719,-0.02828132269512886,594,594,595,15.0
4.1,20.297248696277652,94.7423801661129,94.5500161561461,94.7399367641196,94.5780351694352,98.834291,98.92378,0.0262578338871009,-0.028280424703097058,609,608,609,15.0
4.2,20.792303542528327,94.75531,94.538509,94.75531,94.570602,98.8334014186046,98.8943500863787,0.01644227906970741,-0.028191224161229822,624,623,624,15.0
4.3,21.287358388779,94.75531,94.538509,94.75531,94.570602,98.833374,98.893443,0.019415000000009286,-0.028191224161229822,639,638,639,15.0
4.4,21.782413235029676,94.75531,94.538509,94.75531,94.570602,98.840643847176,98.8975113986711,0.019415000000009286,-0.028191224161229822,653,653,654,14.0
4.5,22.27746808128035,94.7586453023255,94.553633744186,94.7634858139534,94.5730961860465,98.841726,98.898117,0.015692707641193238,-0.028168214524963466,668,668,669,15.0
4.6,22.772522927531025,94.761829,94.568071,94.77129,94.575477,98.836913372093,98.9064752093023,-0.016225000000005707,-0.028146250781253632,683,683,684,15.0
4.7,23.2675777737817,94.761829,94.568071,94.77129,94.575477,98.835455,98.909008,-0.016225000000005707,-0.028146250781253632,698,698,699,15.0
4.8,23.762632620032374,94.7619191854304,94.5681121655629,94.7713474834437,94.5755181655629,98.8322736092715,98.8965806092715,-0.016315185430400447,-0.028145628608584595,713,712,713,15.0
4.9,24.25768746628305,94.768638,94.571179,94.77563,94.578585,98.830675,98.890336,-0.03404826910299619,-0.02809927674470556,728,727,728,15.0
5.0,24.752742312533723,94.768638,94.571179,94.77563,94.578585,98.824778654485,98.9093641395348,-0.04442299999999477,-0.02809927674470556,743,742,743,15.0
5.1,25.247797158784397,94.768638,94.571179,94.77563,94.578585,98.820235,98.924027,-0.04442299999999477,-0.02809927674470556,757,757,758,14.0
5.2,25.742852005035072,94.7717522790697,94.5677684883721,94.7757983255814,94.5732799302325,98.8207443588039,98.9186863521594,-0.047575817275699706,-0.028077791907160917,772,772,773,15.0
5.3,26.237906851285747,94.774725,94.564513,94.775959,94.568216,98.821338,98.912462,-0.05340999999999951,-0.02805728365314015,787,787,788,15.0
5.4,26.73296169753642,94.774725,94.564513,94.775959,94.568216,98.8282495415282,98.9079796013289,-0.05340999999999951,-0.02805728365314015,802,801,802,15.0
5.5,27.228016543787096,94.7743380099667,94.5642571196013,94.7755501495016,94.5683920664452,98.840424,98.900084,-0.053023009966693735,-0.028059953426083056,817,816,817,15.0
5.6,27.72307139003777,94.745604,94.545258,94.745193,94.581465,98.8398785182724,98.9034563986711,-0.02698939867110539,-0.02825818406705094,832,831,832,15.0
5.7,28.218126236288445,94.745604,94.545258,94.745193,94.581465,98.838319,98.913098,-0.029533000000000698,-0.02825818406705094,847,846,847,15.0
5.8,28.71318108253912,94.745604,94.545258,94.745193,94.581465,98.839286629139,98.9119223178808,-0.029533000000000698,-0.02825818406705094,861,861,862,14.0
5.9,29.208235928789794,94.734589730897,94.5537330498338,94.7441337475083,94.5696000332225,98.844407,98.905701,-0.018562102990102858,-0.02833416948038556,876,876,877,15.0
6.0,29.703290775040468,94.724215,94.561716,94.743136,94.558424,98.8441543156146,98.9064868405315,-0.010755000000003179,-0.02840574283746189,891,891,892,15.0
6.1,30.198345621291143,94.724215,94.561716,94.743136,94.558424,98.839933,98.919615,-0.010755000000003179,-0.02840574283746189,906,905,906,15.0
6.2,30.693400467541817,94.724176461794,94.5614587375415,94.7430373421927,94.5582214219269,98.839933,98.919615,-0.010716461794004317,-0.028406008705445015,921,920,921,15.0
6.3,31.188455313792492,94.721315,94.542357,94.735712,94.54318,98.8293885761589,98.9106297814569,3.7980132390202925e-05,-0.028425749403182182,936,935,936,15.0
6.4,31.683510160043166,94.721315,94.542357,94.735712,94.54318,98.828876,98.910193,0.0074249999999977945,-0.028425749403182182,951,950,951,15.0
6.5,32.17856500629384,94.721315,94.542357,94.735712,94.54318,98.8189674119601,98.9149393887043,0.0074249999999977945,-0.028425749403182182,965,965,966,14.0
