t_10Hz,t_video (secs),frame_index
0.0,0.0,0
0.1,0.6621712744436952,20
0.2,1.3243425488873903,40
0.3,1.9865138233310855,60
0.4,2.6486850977747807,79
0.5,3.310856372218476,99
0.6,3.973027646662171,119
0.7,4.635198921105866,139
0.8,5.297370195549561,159
0.9,5.9595414699932565,179
1.0,6.621712744436952,199
1.1,7.283884018880647,219
1.2,7.946055293324342,238
1.3,8.608226567768037,258
1.4,9.270397842211732,278
1.5,9.932569116655428,298
1.6,10.594740391099123,318
1.7,11.256911665542818,338
1.8,11.919082939986513,358
1.9,12.581254214430208,377
2.0,13.243425488873903,397
2.1,13.905596763317599,417
2.2,14.567768037761294,437
2.3,15.229939312204989,457
2.4,15.892110586648684,477
2.5,16.554281861092377,497
2.6,17.21645313553607,516
2.7,17.878624409979764,536
2.8,18.540795684423458,556
2.9,19.20296695886715,576
3.0,19.865138233310844,596
3.1,20.527309507754538,616
3.2,21.18948078219823,636
3.3,21.851652056641925,656
3.4,22.513823331085618,675
3.5,23.17599460552931,695
3.6,23.838165879973005,715
3.7,24.500337154416698,735
3.8,25.16250842886039,755
3.9,25.824679703304085,775
4.0,26.48685097774778,795
4.1,27.14902225219147,814
4.2,27.811193526635165,834
4.3,28.47336480107886,854
4.4,29.135536075522552,874
4.5,29.797707349966245,894
4.6,30.45987862440994,914
4.7,31.122049898853632,934
4.8,31.784221173297325,954
4.9,32.44639244774102,973
5.0,33.10856372218471,993
5.1,33.770734996628406,1013
5.2,34.4329062710721,1033
5.3,35.09507754551579,1053
5.4,35.757248819959486,1073
5.5,36.41942009440318,1093
5.6,37.08159136884687,1112
5.7,37.743762643290566,1132
5.8,38.40593391773426,1152
5.9,39.06810519217795,1172
6.0,39.730276466621646,1192
6.1,40.39244774106534,1212
6.2,41.05461901550903,1232
6.3,41.716790289952726,1252
6.4,42.37896156439642,1271
6.5,43.04113283884011,1291
6.6,43.70330411328381,1311
6.7,44.3654753877275,1331
6.8,45.02764666217119,1351
6.9,45.68981793661489,1371
7.0,46.35198921105858,1391
7.1,47.01416048550227,1410
7.2,47.67633175994597,1430
7.3,48.33850303438966,1450
7.4,49.000674308833354,1470
7.5,49.66284558327705,1490
7.6,50.32501685772074,1510
7.7,50.987188132164434,1530
7.8,51.64935940660813,1549
7.9,52.31153068105182,1569
8.0,52.973701955495514,1589
8.1,53.63587322993921,1609
8.2,54.2980445043829,1629
8.3,54.960215778826594,1649
8.4,55.62238705327029,1669
8.5,56.28455832771398,1689
8.6,56.946729602157674,1708
8.7,57.60890087660137,1728
8.8,58.27107215104506,1748
8.9,58.933243425488754,1768
9.0,59.59541469993245,1788
9.1,60.25758597437614,1808
9.2,60.919757248819835,1828
9.3,61.58192852326353,1847
9.4,62.24409979770722,1867
9.5,62.906271072150915,1887
9.6,63.56844234659461,1907
9.7,64.2306136210383,1927
9.8,64.892784895482,1947
9.9,65.55495616992569,1967
10.0,66.21712744436938,1987
10.1,66.87929871881308,2006
10.2,67.54146999325677,2026
10.3,68.20364126770046,2046
10.4,68.86581254214416,2066
10.5,69.52798381658785,2086
10.6,70.19015509103154,2106
10.7,70.85232636547524,2126
10.8,71.51449763991893,2145
10.9,72.17666891436262,2165
11.0,72.83884018880632,2185
11.1,73.50101146325001,2205
11.2,74.1631827376937,2225
11.3,74.8253540121374,2245
11.4,75.48752528658109,2265
11.5,76.14969656102478,2284
11.6,76.81186783546848,2304
11.7,77.47403910991217,2324
11.8,78.13621038435586,2344
11.9,78.79838165879956,2364
12.0,79.46055293324325,2384
12.1,80.12272420768694,2404
12.2,80.78489548213064,2424
12.3,81.44706675657433,2443
12.4,82.10923803101802,2463
12.5,82.77140930546172,2483
12.6,83.43358057990541,2503
12.7,84.0957518543491,2523
12.8,84.7579231287928,2543
12.9,85.42009440323649,2563
13.0,86.08226567768018,2582
13.1,86.74443695212388,2602
13.2,87.40660822656757,2622
13.3,88.06877950101126,2642
13.4,88.73095077545496,2662
13.5,89.39312204989865,2682
13.6,90.05529332434234,2702
13.7,90.71746459878604,2722
13.8,91.37963587322973,2741
13.9,92.04180714767342,2761
14.0,92.70397842211712,2781
14.1,93.36614969656081,2801
14.2,94.0283209710045,2821
14.3,94.6904922454482,2841
14.4,95.35266351989189,2861
14.5,96.01483479433558,2880
14.6,96.67700606877928,2900
14.7,97.33917734322297,2920
14.8,98.00134861766666,2940
14.9,98.66351989211036,2960
15.0,99.32569116655405,2980
15.1,99.98786244099774,3000
15.2,100.65003371544144,3020
15.3,101.31220498988513,3039
15.4,101.97437626432882,3059
15.5,102.63654753877252,3079
15.6,103.29871881321621,3099
15.7,103.9608900876599,3119
15.8,104.6230613621036,3139
15.9,105.28523263654729,3159
16.0,105.94740391099099,3178
16.1,106.60957518543468,3198
16.2,107.27174645987837,3218
16.3,107.93391773432207,3238
16.4,108.59608900876576,3258
16.5,109.25826028320945,3278
16.6,109.92043155765315,3298
16.7,110.58260283209684,3317
16.8,111.24477410654053,3337
16.9,111.90694538098423,3357
17.0,112.56911665542792,3377
17.1,113.23128792987161,3397
17.2,113.8934592043153,3417
17.3,114.555630478759,3437
17.4,115.21780175320269,3457
17.5,115.87997302764639,3476
17.6,116.54214430209008,3496
17.7,117.20431557653377,3516
17.8,117.86648685097747,3536
17.9,118.52865812542116,3556
18.0,119.19082939986485,3576
18.1,119.85300067430855,3596
18.2,120.51517194875224,3615
18.3,121.17734322319593,3635
18.4,121.83951449763963,3655
18.5,122.50168577208332,3675
18.6,123.16385704652701,3695
18.7,123.8260283209707,3715
18.8,124.4881995954144,3735
18.9,125.1503708698581,3755
19.0,125.81254214430179,3774
19.1,126.47471341874548,3794
19.2,127.13688469318917,3814
19.3,127.79905596763287,3834
19.4,128.46122724207657,3854
19.5,129.12339851652027,3874
19.6,129.78556979096396,3894
19.7,130.44774106540766,3913
19.8,131.10991233985135,3933
19.9,131.77208361429504,3953
20.0,132.43425488873874,3973
20.1,133.09642616318243,3993
20.2,133.75859743762612,4013
20.3,134.42076871206982,4033
20.4,135.0829399865135,4052
20.5,135.7451112609572,4072
20.6,136.4072825354009,4092
20.7,137.0694538098446,4112
20.8,137.73162508428828,4132
20.9,138.39379635873198,4152
21.0,139.05596763317567,4172
21.1,139.71813890761936,4192
21.2,140.38031018206306,4211
21.3,141.04248145650675,4231
21.4,141.70465273095044,4251
21.5,142.36682400539414,4271
21.6,143.02899527983783,4291
21.7,143.69116655428152,4311
21.8,144.35333782872522,4331
21.9,145.0155091031689,4350
22.0,145.6776803776126,4370
22.1,146.3398516520563,4390
22.2,147.0020229265,4410
22.3,147.66419420094368,4430
22.4,148.32636547538738,4450
22.5,148.98853674983107,4470
22.6,149.65070802427476,4490
22.7,150.31287929871846,4509
22.8,150.97505057316215,4529
22.9,151.63722184760584,4549
23.0,152.29939312204954,4569
23.1,152.96156439649323,4589
23.2,153.62373567093692,4609
23.3,154.28590694538062,4629
23.4,154.9480782198243,4648
23.5,155.610249494268,4668
23.6,156.2724207687117,4688
23.7,156.9345920431554,4708
23.8,157.59676331759908,4728
23.9,158.25893459204278,4748
24.0,158.92110586648647,4768
24.1,159.58327714093016,4787
24.2,160.24544841537386,4807
24.3,160.90761968981755,4827
24.4,161.56979096426124,4847
24.5,162.23196223870494,4867
24.6,162.89413351314863,4887
24.7,163.55630478759232,4907
24.8,164.21847606203602,4927
24.9,164.8806473364797,4946
25.0,165.5428186109234,4966
25.1,166.2049898853671,4986
25.2,166.8671611598108,5006
25.3,167.52933243425448,5026
25.4,168.19150370869818,5046
25.5,168.85367498314187,5066
25.6,169.51584625758557,5085
25.7,170.17801753202926,5105
25.8,170.84018880647295,5125
25.9,171.50236008091665,5145
26.0,172.16453135536034,5165
26.1,172.82670262980403,5185
26.2,173.48887390424773,5205
26.3,174.15104517869142,5225
26.4,174.8132164531351,5244
26.5,175.4753877275788,5264
26.6,176.1375590020225,5284
26.7,176.7997302764662,5304
26.8,177.4619015509099,5324
26.9,178.12407282535358,5344
27.0,178.78624409979727,5364
27.1,179.44841537424097,5383
27.2,180.11058664868466,5403
27.3,180.77275792312835,5423
27.4,181.43492919757205,5443
27.5,182.09710047201574,5463
27.6,182.75927174645943,5483
27.7,183.42144302090313,5503
27.8,184.08361429534682,5523
27.9,184.7457855697905,5542
28.0,185.4079568442342,5562
28.1,186.0701281186779,5582
28.2,186.7322993931216,5602
28.3,187.3944706675653,5622
28.4,188.05664194200898,5642
28.5,188.71881321645267,5662
28.6,189.38098449089637,5681
28.7,190.04315576534006,5701
28.8,190.70532703978375,5721
28.9,191.36749831422745,5741
29.0,192.02966958867114,5761
29.1,192.69184086311483,5781
29.2,193.35401213755853,5801
29.3,194.01618341200222,5820
29.4,194.6783546864459,5840
29.5,195.3405259608896,5860
29.6,196.0026972353333,5880
29.7,196.664868509777,5900
29.8,197.3270397842207,5920
29.9,197.98921105866438,5940
30.0,198.65138233310807,5960
30.1,199.31355360755177,5979
30.2,199.97572488199546,5999
30.3,200.63789615643915,6019
30.4,201.30006743088285,6039
30.5,201.96223870532654,6059
30.6,202.62440997977023,6079
30.7,203.28658125421393,6099
30.8,203.94875252865762,6118
30.9,204.61092380310131,6138
31.0,205.273095077545,6158
31.1,205.9352663519887,6178
31.2,206.5974376264324,6198
31.3,207.2596089008761,6218
31.4,207.92178017531978,6238
31.5,208.58395144976348,6258
31.6,209.24612272420717,6277
31.7,209.90829399865086,6297
31.8,210.57046527309456,6317
31.9,211.23263654753825,6337
32.0,211.89480782198194,6357
32.1,212.55697909642564,6377
32.2,213.21915037086933,6397
32.3,213.88132164531302,6416
32.4,214.54349291975672,6436
32.5,215.2056641942004,6456
32.6,215.8678354686441,6476
32.7,216.5300067430878,6496
32.8,217.1921780175315,6516
32.9,217.85434929197518,6536
33.0,218.51652056641888,6555
33.1,219.17869184086257,6575
33.2,219.84086311530626,6595
33.3,220.50303438974996,6615
33.4,221.16520566419365,6635
33.5,221.82737693863734,6655
33.6,222.48954821308104,6675
33.7,223.15171948752473,6695
33.8,223.81389076196842,6714
33.9,224.47606203641212,6734
34.0,225.1382333108558,6754
34.1,225.8004045852995,6774
34.2,226.4625758597432,6794
34.3,227.1247471341869,6814
34.4,227.78691840863058,6834
34.5,228.44908968307428,6853
34.6,229.11126095751797,6873
34.7,229.77343223196166,6893
34.8,230.43560350640536,6913
34.9,231.09777478084905,6933
35.0,231.75994605529274,6953
35.1,232.42211732973644,6973
35.2,233.08428860418013,6993
35.3,233.74645987862382,7012
35.4,234.40863115306752,7032
35.5,235.0708024275112,7052
35.6,235.7329737019549,7072
35.7,236.3951449763986,7092
35.8,237.0573162508423,7112
35.9,237.71948752528598,7132
36.0,238.38165879972968,7151
36.1,239.04383007417337,7171
36.2,239.70600134861706,7191
36.3,240.36817262306076,7211
36.4,241.03034389750445,7231
36.5,241.69251517194814,7251
36.6,242.35468644639184,7271
36.7,243.01685772083553,7291
36.8,243.67902899527923,7310
36.9,244.34120026972292,7330
37.0,245.0033715441666,7350
37.1,245.6655428186103,7370
37.2,246.327714093054,7390
37.3,246.9898853674977,7410
